#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
,,1000,15100,22706,Estudis i treballs tècnics,0,0,0,0
,,1001,91201,15000,Productivitat,0,0,0,0
,,1001,91201,10000,Retribucions  Bàsiques Càrrecs Electes,836217.74,0,836217.74,798198.4
,,1001,91201,16000,Seguretat social,216514.08,0,216514.08,213541.87
,,1001,91201,16009,MUFACE,1213.56,0,1213.56,1321.49
,,1100,92001,15000,Productivitat,0,0,0,0
,,1100,92001,48901,Altres transferències,0,0,0,8750
,,1100,92001,68900,ALTRES DESPESES EN INVERSIONS DE BÉNS PATRIMONIALS.,0,1500,1500,1000
,,1100,92001,11000,RETRIBUCIONS BÀSIQUES.,13308.6,0,13308.6,13308.6
,,1100,92001,11001,Retribucions Complementàries Eventual Ga,56691.4,0,56691.4,52116.08
,,1100,92001,16000,Seguretat social,12364.92,0,12364.92,12489
,,1100,92001,22603,Anuncis oficials,1258,0,1258,0
,,1100,92001,22617,Gestió i publicitat Llei de Barrris,76894,65632.77,142526.77,124803.45
,,1100,92001,22699,Altres despeses,6000,-1500,4500,454.37
,,1100,92001,22706,Estudis i treballs tècnics,7907.25,0,7907.25,18000
,,1100,92001,44901,"Transferències a Grameimpuls, SA (Llei Barris)",89239.8,181850.35,271090.15,262340.15
,,1110,91202,12003,Retribucions sou base funcionari C1,0,0,0,6915.38
,,1110,91202,12006,TRIENNIS.,0,0,0,146.46
,,1110,91202,12100,COMPLEMENT DE DESTINACIÓ.,0,0,0,1697.89
,,1110,91202,12101,COMPLEMENT ESPECÍFIC.,0,0,0,3029.1
,,1110,91202,15000,Productivitat,0,0,0,0
,,1110,91202,11000,RETRIBUCIONS BÀSIQUES.,17112.36,0,17112.36,17429.34
,,1110,91202,11001,Retribucions Complementàries Eventual Ga,46691.4,0,46691.4,43036.28
,,1110,91202,13000,Retribucions bàsiques personal laboral,25341.86,0,25341.86,22704.95
,,1110,91202,13002,Altres remuneracions,13409.88,0,13409.88,13409.88
,,1110,91202,16000,Seguretat social,24342.24,0,24342.24,28278.13
,,1110,91202,48905,Transferències als Grups municipals,74100,8200,82300,82300
,,1120,49101,46702,Transferències a localret,14278,0,14278,14006.89
,,1120,92003,15000,Productivitat,0,0,0,0
,,1120,92003,22602,Pubicitat i propaganda,0,103500,103500,74029.37
,,1120,92003,22603,Anuncis oficials,30000,0,30000,70363.84
,,1120,92003,12000,Retribució sou base funcionari A1,17952.31,0,17952.31,15617.3
,,1120,92003,12004,Retribució sou base funcionari C2,10189.24,0,10189.24,8690.12
,,1120,92003,12006,Triennis,1710.65,0,1710.65,1849.65
,,1120,92003,12100,Complement Destí  funcionaris,9238.92,0,9238.92,9238.92
,,1120,92003,12101,Complement específic funcionaris,19847.4,0,19847.4,19847.4
,,1120,92003,13000,Retribucions bàsiques personal laboral,271885.49,-22800,249085.49,230525.62
,,1120,92003,13002,Altres remuneracions,67348.08,0,67348.08,63458.77
,,1120,92003,13100,Retribucions personal laboral eventual,31860.52,0,31860.52,30099.73
,,1120,92003,14300,Despeses per substitucions,22381.12,0,22381.12,25642.57
,,1120,92003,16000,Seguretat social,140381.52,-28965.86,111415.66,99637.62
,,1120,92003,21301,Manteniment instal.lacions,1700,0,1700,547.45
,,1120,92003,22000,Material d'oficina,20000,28500,48500,21092.92
,,1120,92003,22001,"Premsa, revistes i llibres",17000,0,17000,13861.73
,,1120,92003,22002,Material informàtic,2635,0,2635,0
,,1120,92003,22699,Altres despeses,5355,0,5355,3311.64
,,1120,92003,22706,Estudis i treballs tècnics,42500,0,42500,18550.1
,,1200,23301,22609,Actes i exposicions,0,25000,25000,23400.68
,,1200,33401,48903,Transferències a entitats,0,60000,60000,57678
,,1200,91203,13001,Hores extraordinaries,0,0,0,48.03
,,1200,91203,15000,Productivitat,0,0,0,0
,,1200,91203,22699,Altres despeses,20119.93,0,20119.93,6564.14
,,1200,91203,11000,RETRIBUCIONS BÀSIQUES.,16323.84,0,16323.84,15288.73
,,1200,91203,11001,Retribucions Complementàries Eventual Ga,46691.4,0,46691.4,39977.8
,,1200,91203,12000,Retribució sou base funcionari A1,17669.2,0,17669.2,16409.79
,,1200,91203,12003,Retribució sou base funcionari C1,51903.8,11293.2,63197,50102.73
,,1200,91203,12006,Triennis,5739.72,2535.94,8275.66,8681.95
,,1200,91203,12100,Complement Destí  funcionaris,20758.56,3355.11,24113.67,23931.14
,,1200,91203,12101,Complement específic funcionaris,63705.12,5985.65,69690.77,65707.98
,,1200,91203,12103,Altres complements funcionaris,2766.48,0,2766.48,2766.48
,,1200,91203,13000,Retribucions bàsiques personal laboral,54084.12,0,54084.12,50068.59
,,1200,91203,13002,Altres remuneracions,10084.56,0,10084.56,10084.56
,,1200,91203,16000,Seguretat social,73230.36,6068.59,79298.95,69407.32
,,1200,91203,22300,Transports,433.5,0,433.5,431.72
,,1200,91203,22601,Atencions Protocolàries,10251,-100,10151,4889.64
,,1200,91203,22609,Actes i exposicions,5000,1498.68,6498.68,23089.2
,,1200,94301,46601,Transferències a la  Federació municipis,23513.49,0,23513.49,23513.49
,,1200,94301,46603,Transferències al  Fòrum Barcelonès Nord,7000,-4500,2500,2500
,,1210,91203,15000,Productivitat,0,0,0,0
,,1210,91203,11000,RETRIBUCIONS BÀSIQUES.,17280.48,0,17280.48,16855.68
